# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Sat, 30 May 2020 23:00:03 +0200
#
# IP	number of (black)lists
#
89.234.157.254	9
18.27.197.252	9
185.165.168.229	9
46.165.230.5	9
193.70.13.31	9
37.49.226.183	8
185.220.100.253	8
77.247.181.165	8
77.247.181.162	8
158.69.35.227	8
37.49.226.155	8
51.77.135.89	8
37.49.226.173	8
77.247.181.163	8
51.75.52.118	8
195.206.105.217	8
51.158.111.157	8
193.70.12.205	8
37.49.226.230	7
37.49.226.237	7
37.49.226.181	7
51.15.80.14	7
27.78.14.83	7
104.244.72.115	7
185.232.65.105	7
217.170.205.14	7
185.220.100.252	7
185.170.114.25	7
37.49.226.23	7
185.220.101.214	7
185.220.101.210	7
185.220.101.211	7
193.70.12.236	7
193.70.12.238	7
193.70.12.219	7
45.95.168.221	7
185.220.101.213	7
171.25.193.20	7
37.49.226.152	7
37.49.226.157	7
194.61.24.177	7
51.75.144.43	7
185.220.101.193	7
51.15.177.65	7
185.220.100.241	7
193.70.12.240	7
185.220.101.229	7
23.129.64.197	7
185.220.101.207	7
185.220.101.202	7
185.100.87.206	7
85.209.0.101	6
85.209.0.103	6
128.31.0.13	6
31.220.1.210	6
185.117.215.9	6
134.209.176.162	6
51.15.43.205	6
122.193.8.54	6
212.47.229.4	6
116.110.146.9	6
118.70.216.153	6
185.220.101.33	6
171.25.193.77	6
104.236.30.107	6
209.141.37.175	6
185.220.101.5	6
185.220.101.1	6
87.251.74.48	6
185.220.101.40	6
185.220.101.208	6
185.220.101.204	6
89.144.12.17	6
162.247.72.199	6
185.42.170.203	6
192.42.116.13	6
109.201.133.100	6
138.197.5.123	6
205.185.117.22	6
185.220.102.8	6
193.218.118.131	6
185.220.101.212	6
23.129.64.189	6
23.129.64.182	6
185.220.101.194	6
176.10.104.240	6
37.49.226.64	6
185.220.101.46	6
185.220.102.4	6
37.49.226.248	6
162.247.74.217	6
46.148.20.25	6
66.230.230.230	6
176.10.99.200	6
128.199.110.226	6
